path,source_title,display_title,title,module,display_tier,frontend_eligible,quality_score,status,tags,sources,hidden_reasons,frontend_hidden_reasons,frontend_quality_warnings
wiki/synthesis/karpathy-official-wiki-layer.md,卡帕西官方 Wiki 层契约,卡帕西官方 Wiki 层契约,卡帕西官方 Wiki 层契约,library,candidate,no,85,public,llm-wiki|synthesis|architecture,[[wiki/sources/karpathy-llm-wiki-pattern]],needs-explicit-curation,displayTier:candidate|hiddenReasons:not-empty,
wiki/synthesis/lifecycle-package-backlog.md,Lifecycle Package Backlog,生命周期学习包待办,生命周期学习包待办,journal,candidate,no,100,verified,backlog|lifecycle|learning|projects|curated|verified,[[wiki/sources/local-private-compile-2026-05-13]]|[[wiki/synthesis/project-evidence-matrix]]|[[wiki/synthesis/capability-evidence-matrix]],needs-explicit-curation,displayTier:candidate|hiddenReasons:not-empty,
log.md,Vault Log,Vault Log,Vault Log,journal,hidden,no,76,public,llm-wiki|log,[[wiki/sources/pre-rebuild-vault-archive]],source:archive-only,sourcePath:entry-page-not-card|displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|title:not-chinese-reader-ready|summary:not-chinese-reader-ready,
wiki/concepts/03-代码片段-代码片段索引.md,代码片段索引,代码片段索引,代码片段索引,library,hidden,no,33,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low,
wiki/concepts/04-知识库-方法论专题-06-Obsidian知识管理.md,📚 Obsidian 知识管理,📚 Obsidian 知识管理,📚 Obsidian 知识管理,library,hidden,no,48,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low,
wiki/concepts/04-知识库-领域研究-AI-Agent技术-技能库-MCP_Ecosystem_2026.md,MCP 生态全景 (MCP Ecosystem 2026),MCP 生态全景 (MCP Ecosystem 2026),MCP 生态全景 (MCP Ecosystem 2026),library,hidden,no,43,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/04-知识库-领域研究-AI-Agent技术-技能库-MuleRun_Skills_Hub_MOC.md,MuleRun 技能知识网络索引 (MuleRun Skills MOC),MuleRun 技能知识网络索引 (MuleRun Skills MOC),MuleRun 技能知识网络索引 (MuleRun Skills MOC),library,hidden,no,43,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/04-知识库-领域研究-AI-Agent技术-架构设计-Agent-平台最佳实践与反模式-2026-04-11.md,Agent 平台最佳实践与反模式,Agent 平台最佳实践与反模式,Agent 平台最佳实践与反模式,library,hidden,no,48,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low,
wiki/concepts/07-技能库-MuleRun_Skills_Hub.md,MuleRun Skills Hub,MuleRun Skills Hub,MuleRun Skills Hub,library,hidden,no,33,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|title:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-ai-multimodal.md,ai-multimodal 技能,ai-multimodal 技能,ai-multimodal 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
